Data;Time;OPEN;HIGH;LOW;CLOSE;VOLUME
03.06.2011;6:00;1.44867;1.44890;1.44798;1.44843;2361
03.06.2011;7:00;1.44845;1.44881;1.44730;1.44730;2691
03.06.2011;8:00;1.44732;1.44864;1.44632;1.44847;3135
03.06.2011;9:00;1.44846;1.44856;1.44606;1.44801;2990
03.06.2011;10:00;1.44803;1.44977;1.44712;1.44922;2773
03.06.2011;11:00;1.44925;1.45010;1.44831;1.44956;2569
03.06.2011;12:00;1.44953;1.44962;1.44842;1.44905;2340
03.06.2011;13:00;1.44887;1.45021;1.44882;1.44998;2276
03.06.2011;14:00;1.44998;1.45264;1.44524;1.44721;2244
03.06.2011;15:00;1.44728;1.45592;1.44652;1.45432;2321
03.06.2011;16:00;1.45432;1.45797;1.45357;1.45660;2002
03.06.2011;17:00;1.45651;1.46025;1.45620;1.46017;2366
03.06.2011;18:00;1.46022;1.46403;1.45940;1.46308;2556
03.06.2011;19:00;1.46287;1.46350;1.46186;1.46316;2343
03.06.2011;20:00;1.46319;1.46420;1.46222;1.46229;2765
03.06.2011;21:00;1.46219;1.46341;1.46167;1.46335;2772
03.06.2011;22:00;1.46334;1.46415;1.46278;1.46327;1739
06.06.2011;0:00;1.46269;1.46558;1.46264;1.46527;2022
06.06.2011;1:00;1.46526;1.46563;1.46403;1.46515;3017
06.06.2011;2:00;1.46515;1.46549;1.46316;1.46524;3446
06.06.2011;3:00;1.46526;1.46537;1.46228;1.46324;3262
06.06.2011;4:00;1.46323;1.46452;1.46311;1.46398;2462
06.06.2011;5:00;1.46396;1.46463;1.46342;1.46358;2693
06.06.2011;6:00;1.46363;1.46424;1.46320;1.46381;3153
06.06.2011;7:00;1.46382;1.46478;1.46292;1.46446;2844
06.06.2011;8:00;1.46443;1.46571;1.46320;1.46544;4013
06.06.2011;9:00;1.46532;1.46567;1.46164;1.46191;3783
06.06.2011;10:00;1.46202;1.46429;1.46159;1.46347;3179
06.06.2011;11:00;1.46346;1.46517;1.46128;1.46141;3155
06.06.2011;12:00;1.46146;1.46245;1.45988;1.46059;3116
06.06.2011;13:00;1.46055;1.46154;1.45952;1.45957;2699
06.06.2011;14:00;1.45959;1.46173;1.45931;1.46059;3026
06.06.2011;15:00;1.46061;1.46284;1.46005;1.46173;2636
06.06.2011;16:00;1.46170;1.46209;1.45942;1.46039;2419
06.06.2011;17:00;1.46036;1.46242;1.46017;1.46196;2620
06.06.2011;18:00;1.46195;1.46196;1.45898;1.46011;2654
06.06.2011;19:00;1.46042;1.46081;1.45894;1.45935;2961
06.06.2011;20:00;1.45934;1.46039;1.45737;1.45854;3113
06.06.2011;21:00;1.45853;1.45888;1.45570;1.45638;3305
06.06.2011;22:00;1.45640;1.45784;1.45632;1.45749;2485
06.06.2011;23:00;1.45748;1.45839;1.45722;1.45777;1642
07.06.2011;0:00;1.45773;1.45826;1.45721;1.45799;1628
07.06.2011;1:00;1.45791;1.46003;1.45729;1.45901;3522
07.06.2011;2:00;1.45899;1.45908;1.45801;1.45845;3048
07.06.2011;3:00;1.45846;1.45882;1.45634;1.45749;3019
07.06.2011;4:00;1.45752;1.45869;1.45683;1.45858;2555
07.06.2011;5:00;1.45857;1.46007;1.45764;1.45993;2569
07.06.2011;6:00;1.45992;1.46145;1.45945;1.46090;3407
07.06.2011;7:00;1.46094;1.46130;1.46028;1.46115;3423
07.06.2011;8:00;1.46120;1.46473;1.46109;1.46434;3254
07.06.2011;9:00;1.46441;1.46636;1.46259;1.46584;2767
07.06.2011;10:00;1.46584;1.46799;1.46428;1.46794;2677
07.06.2011;11:00;1.46792;1.46810;1.46651;1.46655;2690
07.06.2011;12:00;1.46655;1.46782;1.46618;1.46647;2413
07.06.2011;13:00;1.46656;1.46709;1.46560;1.46627;2269
07.06.2011;14:00;1.46628;1.46746;1.46484;1.46742;2283
07.06.2011;15:00;1.46740;1.46793;1.46487;1.46535;1876
07.06.2011;16:00;1.46538;1.46915;1.46538;1.46817;1913
07.06.2011;17:00;1.46818;1.46839;1.46611;1.46727;1972
07.06.2011;18:00;1.46737;1.46823;1.46709;1.46788;1968
07.06.2011;19:00;1.46775;1.46848;1.46761;1.46846;2078
